Source,Target,Weight,July19Topic,PostDate
User1215,Post185,2,13,Mar-17
User1151,Post609,2,9,Feb-17
User1049,Post025,2,7,Mar-17
User1029,Post500,2,5,Mar-17
User1016,Post185,2,13,Mar-17
User0962,Post025,2,7,Mar-17
User0931,Post120,2,8,Mar-17
User0902,Post066,2,12,Mar-17
User0455,Post290,2,7,Apr-17
User0776,Post500,2,5,Mar-17
User0706,Post044,2,16,Feb-17
User0696,Post500,2,5,Mar-17
User0655,Post201,2,13,Mar-17
User2301,Post590,2,13,Mar-17
User0556,Post571,2,12,Feb-17
User0556,Post281,2,12,Feb-17
User0543,Post597,2,1,Apr-17
User0528,Post025,2,7,Mar-17
User0509,Post500,2,5,Mar-17
User0505,Post570,2,8,Feb-17
User0477,Post221,2,14,Mar-17
User0477,Post546,2,9,Mar-17
User0477,Post320,2,8,Mar-17
User0462,Post513,2,6,Jan-17
User0457,Post504,2,3,Apr-17
User0457,Post567,2,7,Apr-17
User0455,Post051,2,11,Apr-17
User0455,Post105,2,4,Apr-17
User0455,Post034,2,8,Mar-17
User0455,Post147,2,15,Mar-17
User0455,Post213,2,8,Mar-17
User2890,Post401,2,16,Mar-17
User0360,Post401,2,16,Mar-17
User6193,Post401,2,16,Mar-17
User0052,Post110,2,15,Mar-17
User1526,Post199,2,1,Feb-17
User0339,Post261,2,8,Feb-17
User1526,Post551,2,13,Feb-17
User1526,Post399,2,3,Feb-17
User0454,Post502,2,13,Feb-17
User5555,Post502,2,13,Feb-17
User2807,Post198,2,2,Feb-17
User0454,Post179,2,9,Feb-17
User0367,Post281,2,12,Feb-17
User0360,Post201,2,13,Mar-17
User0360,Post190,2,10,Feb-17
User0360,Post417,2,11,Feb-17
User0357,Post032,2,13,Apr-17
User0357,Post035,2,12,Apr-17
User0320,Post463,2,1,Apr-17
User0320,Post025,2,7,Mar-17
User0305,Post047,2,9,Apr-17
User0305,Post548,2,10,Mar-17
User0305,Post174,2,15,Mar-17
User0305,Post190,2,10,Feb-17
User0566,Post335,2,8,Feb-17
User0532,Post516,2,10,Feb-17
User5288,Post096,2,6,Feb-17
User1753,Post096,2,6,Feb-17
User5698,Post096,2,6,Feb-17
User3551,Post096,2,6,Feb-17
User7264,Post096,2,6,Feb-17
User5908,Post096,2,6,Feb-17
User0842,Post096,2,6,Feb-17
User7231,Post096,2,6,Feb-17
User2208,Post096,2,6,Feb-17
User0305,Post571,2,12,Feb-17
User0462,Post128,2,3,Feb-17
User0300,Post095,2,1,Apr-17
User0299,Post037,2,2,Apr-17
User0276,Post451,2,8,Feb-17
User0234,Post065,2,3,Apr-17
User0234,Post120,2,8,Mar-17
User0234,Post249,2,17,Mar-17
User0195,Post025,2,7,Mar-17
User0176,Post338,2,15,Apr-17
User0172,Post500,2,5,Mar-17
User0161,Post311,2,18,Feb-17
User0037,Post137,2,14,Jan-17
User0159,Post036,2,1,Apr-17
User0144,Post065,2,3,Apr-17
User0144,Post417,2,11,Feb-17
User2297,Post523,2,14,Jan-17
User0161,Post216,2,2,Jan-17
User0505,Post432,2,4,Jan-17
User1480,Post534,2,9,Jan-17
User0454,Post390,2,3,Jan-17
User0454,Post458,2,9,Jan-17
User6172,Post012,2,8,Jan-17
User0454,Post012,2,8,Jan-17
User3570,Post012,2,8,Jan-17
User7599,Post197,2,15,Jan-17
User0454,Post197,2,15,Jan-17
User1851,Post415,2,18,Jan-17
User0086,Post066,2,12,Mar-17
User0075,Post571,2,12,Feb-17
User0052,Post357,2,14,Feb-17
User0048,Post371,2,17,Mar-17
User0046,Post301,2,1,Apr-17
User0044,Post076,2,10,Feb-17
User0032,Post079,2,2,Mar-17
User7712,Post035,1,12,Apr-17
User7712,Post065,1,3,Apr-17
User7710,Post500,1,5,Mar-17
User7709,Post504,1,3,Apr-17
User7707,Post597,1,1,Apr-17
User7707,Post287,1,1,Apr-17
User7703,Post428,1,7,Mar-17
User7700,Post028,1,12,Mar-17
User7700,Post500,1,5,Mar-17
User7700,Post320,1,8,Mar-17
User7696,Post287,1,1,Apr-17
User7696,Post571,1,12,Feb-17
User7693,Post597,1,1,Apr-17
User7691,Post281,1,12,Feb-17
User7690,Post190,1,10,Feb-17
User7682,Post447,1,1,Mar-17
User7680,Post036,1,1,Apr-17
User7680,Post287,1,1,Apr-17
User7679,Post500,1,5,Mar-17
User7674,Post044,1,16,Feb-17
User7673,Post447,1,1,Mar-17
User7668,Post500,1,5,Mar-17
User7664,Post567,1,7,Apr-17
User7662,Post201,1,13,Mar-17
User7661,Post609,1,9,Feb-17
User7655,Post417,1,11,Feb-17
User7653,Post546,1,9,Mar-17
User7651,Post597,1,1,Apr-17
User7649,Post500,1,5,Mar-17
User7647,Post025,1,7,Mar-17
User7646,Post201,1,13,Mar-17
User7639,Post500,1,5,Mar-17
User7638,Post571,1,12,Feb-17
User7629,Post252,1,7,Apr-17
User7629,Post221,1,14,Mar-17
User7627,Post500,1,5,Mar-17
User7621,Post201,1,13,Mar-17
User7619,Post500,1,5,Mar-17
User7618,Post500,1,5,Mar-17
User7616,Post281,1,12,Feb-17
User7614,Post002,1,9,Feb-17
User7613,Post281,1,12,Feb-17
User7609,Post447,1,1,Mar-17
User7608,Post079,1,2,Mar-17
User7607,Post287,1,1,Apr-17
User7602,Post417,1,11,Feb-17
User7601,Post597,1,1,Apr-17
User7599,Post152,1,5,Mar-17
User7599,Post010,1,8,Mar-17
User7599,Post543,1,8,Feb-17
User7593,Post120,1,8,Mar-17
User7590,Post371,1,17,Mar-17
User7588,Post044,1,16,Feb-17
User7588,Post281,1,12,Feb-17
User7586,Post025,1,7,Mar-17
User7586,Post500,1,5,Mar-17
User7586,Post447,1,1,Mar-17
User7583,Post028,1,12,Mar-17
User7581,Post066,1,12,Mar-17
User7578,Post274,1,8,Mar-17
User7577,Post281,1,12,Feb-17
User7576,Post287,1,1,Apr-17
User7572,Post185,1,13,Mar-17
User7572,Post201,1,13,Mar-17
User7572,Post543,1,8,Feb-17
User7572,Post536,1,14,Jan-17
User7571,Post550,1,8,Apr-17
User7570,Post035,1,12,Apr-17
User7569,Post546,1,9,Mar-17
User7557,Post190,1,10,Feb-17
User7556,Post500,1,5,Mar-17
User7553,Post036,1,1,Apr-17
User7553,Post287,1,1,Apr-17
User7552,Post597,1,1,Apr-17
User7552,Post287,1,1,Apr-17
User7550,Post500,1,5,Mar-17
User7549,Post079,1,2,Mar-17
User7548,Post571,1,12,Feb-17
User7547,Post500,1,5,Mar-17
User7545,Post509,1,1,Apr-17
User7545,Post120,1,8,Mar-17
User7545,Post201,1,13,Mar-17
User7544,Post569,1,17,Mar-17
User7538,Post281,1,12,Feb-17
User7535,Post139,1,15,Feb-17
User7533,Post447,1,1,Mar-17
User7530,Post036,1,1,Apr-17
User7525,Post550,1,8,Apr-17
User7524,Post035,1,12,Apr-17
User7522,Post567,1,7,Apr-17
User7522,Post536,1,14,Jan-17
User7519,Post281,1,12,Feb-17
User7513,Post500,1,5,Mar-17
User7512,Post500,1,5,Mar-17
User7512,Post185,1,13,Mar-17
User7512,Post125,1,16,Mar-17
User7511,Post470,1,8,Mar-17
User7498,Post500,1,5,Mar-17
User7492,Post597,1,1,Apr-17
User7492,Post287,1,1,Apr-17
User7491,Post569,1,17,Mar-17
User7486,Post281,1,12,Feb-17
User7485,Post281,1,12,Feb-17
User7483,Post185,1,13,Mar-17
User7480,Post439,1,12,Apr-17
User7480,Post500,1,5,Mar-17
User7476,Post447,1,1,Mar-17
User7472,Post428,1,7,Mar-17
User7467,Post221,1,14,Mar-17
User7466,Post548,1,10,Mar-17
User7463,Post120,1,8,Mar-17
User7459,Post500,1,5,Mar-17
User7457,Post025,1,7,Mar-17
User7456,Post571,1,12,Feb-17
User7456,Post281,1,12,Feb-17
User7455,Post152,1,5,Mar-17
User7452,Post281,1,12,Feb-17
User7451,Post028,1,12,Mar-17
User7451,Post500,1,5,Mar-17
User7448,Post120,1,8,Mar-17
User7447,Post597,1,1,Apr-17
User7445,Post507,1,8,Mar-17
User7445,Post181,1,16,Mar-17
User7444,Post388,1,13,Mar-17
User7439,Post439,1,12,Apr-17
User7435,Post066,1,12,Mar-17
User7434,Post190,1,10,Feb-17
User7431,Post482,1,9,Mar-17
User7431,Post609,1,9,Feb-17
User7428,Post470,1,8,Mar-17
User7426,Post567,1,7,Apr-17
User7423,Post439,1,12,Apr-17
User7420,Post500,1,5,Mar-17
User7419,Post281,1,12,Feb-17
User7417,Post500,1,5,Mar-17
User7410,Post281,1,12,Feb-17
