Source,Target,Weight,July19Topic,PostDate
User5748,Post017,17,1,Jul-17
User7303,Post064,9,15,Jun-17
User4340,Post279,7,14,Jun-17
User0523,Post064,6,15,Jun-17
User3368,Post064,5,15,Jun-17
User4578,Post575,5,5,May-17
User6639,Post150,4,15,Aug-17
User0569,Post487,4,14,Aug-17
User0765,Post064,3,15,Jun-17
User6309,Post577,3,8,Jul-17
User3748,Post367,3,1,May-17
User3483,Post575,3,5,May-17
User3187,Post575,3,5,May-17
User2045,Post279,3,14,Jun-17
User1024,Post150,3,15,Aug-17
User0569,Post385,3,12,Aug-17
User0500,Post150,3,15,Aug-17
User6621,Post064,2,15,Jun-17
User7202,Post279,2,14,Jun-17
User3275,Post064,2,15,Jun-17
User7032,Post349,2,NA,May-17
User6653,Post407,2,11,Jul-17
User0429,Post064,2,15,Jun-17
User6455,Post279,2,14,Jun-17
User6313,Post426,2,15,Jun-17
User6309,Post441,2,14,Jun-17
User6139,Post488,2,15,Jun-17
User5965,Post325,2,7,Jun-17
User5683,Post385,2,12,Aug-17
User5627,Post150,2,15,Aug-17
User5535,Post345,2,5,Jul-17
User5445,Post279,2,14,Jun-17
User4820,Post150,2,15,Aug-17
User4781,Post129,2,11,Jul-17
User4595,Post150,2,15,Aug-17
User4563,Post103,2,10,Aug-17
User4539,Post279,2,14,Jun-17
User4533,Post150,2,15,Aug-17
User4532,Post441,2,14,Jun-17
User4068,Post492,2,13,Aug-17
User3902,Post074,2,1,Jul-17
User3845,Post039,2,1,May-17
User3808,Post367,2,1,May-17
User3789,Post385,2,12,Aug-17
User3696,Post279,2,14,Jun-17
User3600,Post441,2,14,Jun-17
User3411,Post084,2,18,Aug-17
User3270,Post150,2,15,Aug-17
User3068,Post606,2,7,Aug-17
User2993,Post430,2,2,Jul-17
User2757,Post441,2,14,Jun-17
User2696,Post347,2,1,May-17
User2627,Post150,2,15,Aug-17
User2627,Post426,2,15,Jun-17
User2606,Post383,2,3,May-17
User2602,Post279,2,14,Jun-17
User2525,Post279,2,14,Jun-17
User2513,Post457,2,12,Aug-17
User2469,Post039,2,1,May-17
User2140,Post560,2,10,Aug-17
User2116,Post385,2,12,Aug-17
User2053,Post385,2,12,Aug-17
User2013,Post279,2,14,Jun-17
User1983,Post302,2,NA,Jun-17
User1725,Post279,2,14,Jun-17
User1715,Post279,2,14,Jun-17
User1403,Post385,2,12,Aug-17
User1043,Post172,2,18,Jun-17
User0809,Post398,2,15,Jun-17
User0615,Post039,2,1,May-17
User0569,Post457,2,12,Aug-17
User0555,Post150,2,15,Aug-17
User0523,Post074,2,1,Jul-17
User0523,Post487,2,14,Aug-17
User0523,Post172,2,18,Jun-17
User0511,Post426,2,15,Jun-17
User0505,Post172,2,18,Jun-17
User0475,Post150,2,15,Aug-17
User0469,Post039,2,1,May-17
User0455,Post487,2,14,Aug-17
User0455,Post512,2,NA,Aug-17
User0455,Post325,2,7,Jun-17
User0455,Post090,2,5,Jun-17
User0455,Post506,2,13,Jun-17
User0455,Post568,2,1,Jun-17
User0454,Post369,2,1,Jun-17
User0385,Post279,2,14,Jun-17
User0383,Post606,2,7,Aug-17
User0383,Post564,2,NA,Aug-17
User0383,Post228,2,12,Aug-17
User0383,Post310,2,2,Aug-17
User0383,Post492,2,13,Aug-17
User0383,Post605,2,17,Aug-17
User0383,Post303,2,NA,Aug-17
User0381,Post575,2,5,May-17
User0359,Post345,2,5,Jul-17
User0357,Post455,2,1,May-17
User0347,Post437,2,1,Jun-17
User0325,Post581,2,6,Jun-17
User0317,Post345,2,5,Jul-17
User0312,Post068,2,16,Jul-17
User0299,Post084,2,18,Aug-17
User0234,Post302,2,NA,Jun-17
User0172,Post575,2,5,May-17
User0103,Post310,2,2,Aug-17
User0039,Post606,2,7,Aug-17
User0039,Post303,2,NA,Aug-17
User0039,Post129,2,11,Jul-17
User7714,Post426,1,15,Jun-17
User7705,Post577,1,8,Jul-17
User7704,Post430,1,2,Jul-17
User7695,Post426,1,15,Jun-17
User7695,Post279,1,14,Jun-17
User7692,Post426,1,15,Jun-17
User7690,Post560,1,10,Aug-17
User7689,Post606,1,7,Aug-17
User7688,Post426,1,15,Jun-17
User7687,Post279,1,14,Jun-17
User7683,Post302,1,NA,Jun-17
User7681,Post367,1,1,May-17
User7678,Post441,1,14,Jun-17
User7677,Post577,1,8,Jul-17
User7676,Post279,1,14,Jun-17
User7666,Post196,1,15,Aug-17
User7665,Post302,1,NA,Jun-17
User7664,Post457,1,12,Aug-17
User7664,Post426,1,15,Jun-17
User7660,Post302,1,NA,Jun-17
User7658,Post577,1,8,Jul-17
User7657,Post279,1,14,Jun-17
User7656,Post279,1,14,Jun-17
User7643,Post454,1,NA,Jun-17
User7642,Post191,1,NA,Aug-17
User7640,Post302,1,NA,Jun-17
User7640,Post349,1,NA,May-17
User7635,Post279,1,14,Jun-17
User7632,Post150,1,15,Aug-17
User7631,Post170,1,1,May-17
User7630,Post441,1,14,Jun-17
User7624,Post302,1,NA,Jun-17
User7623,Post279,1,14,Jun-17
User7622,Post441,1,14,Jun-17
User7614,Post279,1,14,Jun-17
User7612,Post279,1,14,Jun-17
User7611,Post560,1,10,Aug-17
User7606,Post039,1,1,May-17
User7602,Post084,1,18,Aug-17
User7597,Post039,1,1,May-17
User7597,Post400,1,1,May-17
User7596,Post426,1,15,Jun-17
User7596,Post279,1,14,Jun-17
User7595,Post279,1,14,Jun-17
User7592,Post398,1,15,Jun-17
User7587,Post196,1,15,Aug-17
User7584,Post302,1,NA,Jun-17
User7580,Post279,1,14,Jun-17
User7579,Post196,1,15,Aug-17
User7579,Post560,1,10,Aug-17
User7574,Post279,1,14,Jun-17
User7572,Post196,1,15,Aug-17
User7566,Post279,1,14,Jun-17
User7565,Post442,1,NA,Jun-17
User7565,Post426,1,15,Jun-17
User7563,Post302,1,NA,Jun-17
User7562,Post454,1,NA,Jun-17
User7562,Post581,1,6,Jun-17
User7559,Post448,1,1,Jun-17
User7554,Post488,1,15,Jun-17
User7551,Post577,1,8,Jul-17
User7551,Post017,1,1,Jul-17
User7548,Post454,1,NA,Jun-17
User7548,Post442,1,NA,Jun-17
User7548,Post349,1,NA,May-17
User7543,Post279,1,14,Jun-17
User7542,Post441,1,14,Jun-17
User7542,Post222,1,3,Jun-17
User7542,Post349,1,NA,May-17
User7540,Post279,1,14,Jun-17
User7539,Post279,1,14,Jun-17
User7537,Post279,1,14,Jun-17
User7536,Post400,1,1,May-17
User7534,Post279,1,14,Jun-17
User7531,Post279,1,14,Jun-17
User7528,Post430,1,2,Jul-17
User7526,Post565,1,1,May-17
User7524,Post442,1,NA,Jun-17
User7517,Post302,1,NA,Jun-17
User7512,Post279,1,14,Jun-17
User7512,Post575,1,5,May-17
User7510,Post279,1,14,Jun-17
User7507,Post345,1,5,Jul-17
User7504,Post196,1,15,Aug-17
User7502,Post345,1,5,Jul-17
User7495,Post430,1,2,Jul-17
User7495,Post596,1,8,Jul-17
User7494,Post315,1,15,Aug-17
User7493,Post349,1,NA,May-17
User7490,Post441,1,14,Jun-17
User7490,Post302,1,NA,Jun-17
User7489,Post347,1,1,May-17
User7487,Post345,1,5,Jul-17
User7480,Post127,1,NA,Jul-17
User7479,Post279,1,14,Jun-17
User7478,Post426,1,15,Jun-17
User7478,Post279,1,14,Jun-17
User7478,Post400,1,1,May-17
User7475,Post279,1,14,Jun-17
User7473,Post302,1,NA,Jun-17
User7473,Post349,1,NA,May-17
User7465,Post279,1,14,Jun-17
User7461,Post039,1,1,May-17
User7460,Post349,1,NA,May-17
User7450,Post279,1,14,Jun-17
User7449,Post022,1,15,May-17
User7449,Post347,1,1,May-17
User7446,Post565,1,1,May-17
User7440,Post454,1,NA,Jun-17
User7440,Post442,1,NA,Jun-17
User7439,Post454,1,NA,Jun-17
User7439,Post426,1,15,Jun-17
User7437,Post279,1,14,Jun-17
User7436,Post349,1,NA,May-17
User7433,Post606,1,7,Aug-17
User7431,Post302,1,NA,Jun-17
User7430,Post577,1,8,Jul-17
User7430,Post488,1,15,Jun-17
User7429,Post577,1,8,Jul-17
User7428,Post426,1,15,Jun-17
User7426,Post430,1,2,Jul-17
User7426,Post245,1,16,Jun-17
User7421,Post560,1,10,Aug-17
User7414,Post426,1,15,Jun-17
User7403,Post575,1,5,May-17
User7395,Post426,1,15,Jun-17
User7394,Post426,1,15,Jun-17
User7391,Post279,1,14,Jun-17
User7390,Post188,1,NA,Jul-17
User7389,Post279,1,14,Jun-17
User7388,Post385,1,12,Aug-17
