Source,Target,Weight,July19Topic,PostDate
User0505,Post362,1,15,Oct-16
User6696,Post362,1,15,Oct-16
User1506,Post362,1,15,Oct-16
User5595,Post362,1,15,Oct-16
User0822,Post362,1,15,Oct-16
User4121,Post362,1,15,Oct-16
User0455,Post317,1,6,Oct-16
User4002,Post317,1,6,Oct-16
User6256,Post317,1,6,Oct-16
User2613,Post317,1,6,Oct-16
User0455,Post248,1,12,Oct-16
User0205,Post248,1,12,Oct-16
User2806,Post248,1,12,Oct-16
User0756,Post248,1,12,Oct-16
User5617,Post048,1,3,Oct-16
User0186,Post048,1,3,Oct-16
User0466,Post048,1,3,Oct-16
User0113,Post048,1,3,Oct-16
User0455,Post331,1,7,Oct-16
User0454,Post331,1,7,Oct-16
User1283,Post331,1,7,Oct-16
User0186,Post331,1,7,Oct-16
User3735,Post331,1,7,Oct-16
User3240,Post331,1,7,Oct-16
User6256,Post331,1,7,Oct-16
User1103,Post332,1,12,Oct-16
User3897,Post332,1,12,Oct-16
User2971,Post220,1,2,Oct-16
User0455,Post220,1,2,Oct-16
User0186,Post220,1,2,Oct-16
User0756,Post220,1,2,Oct-16
User0263,Post220,1,2,Oct-16
User0455,Post563,1,3,Oct-16
User4733,Post563,1,3,Oct-16
User0455,Post214,1,17,Oct-16
User0454,Post214,1,17,Oct-16
User5459,Post214,1,17,Oct-16
User0505,Post214,1,17,Oct-16
User0505,Post393,1,6,Oct-16
User3004,Post393,1,6,Oct-16
User0756,Post393,1,6,Oct-16
User4313,Post393,1,6,Oct-16
User0263,Post393,1,6,Oct-16
User4002,Post393,1,6,Oct-16
User0455,Post483,1,5,Oct-16
User1351,Post483,1,5,Oct-16
User2007,Post483,1,5,Oct-16
User3379,Post483,1,5,Oct-16
User5083,Post483,1,5,Oct-16
User6095,Post483,1,5,Oct-16
User5269,Post483,1,5,Oct-16
User0205,Post483,1,5,Oct-16
User0020,Post483,1,5,Oct-16
User1597,Post483,1,5,Oct-16
User0822,Post483,1,5,Oct-16
User6523,Post483,1,5,Oct-16
User3004,Post483,1,5,Oct-16
User0454,Post483,1,5,Oct-16
User0186,Post483,1,5,Oct-16
User4378,Post483,1,5,Oct-16
User2613,Post483,1,5,Oct-16
User0822,Post366,1,7,Oct-16
User0454,Post366,1,7,Oct-16
User6256,Post366,1,7,Oct-16
User4002,Post366,1,7,Oct-16
User0454,Post007,1,5,Oct-16
User3460,Post007,1,5,Oct-16
User3004,Post007,1,5,Oct-16
User3737,Post007,1,5,Oct-16
User0587,Post007,1,5,Oct-16
User1157,Post007,1,5,Oct-16
User0483,Post101,1,14,Sep-16
User0454,Post101,1,14,Sep-16
User3470,Post101,1,14,Sep-16
User6581,Post101,1,14,Sep-16
User2613,Post101,1,14,Sep-16
User0455,Post392,1,11,Sep-16
User0483,Post392,1,11,Sep-16
User0530,Post392,1,11,Sep-16
User0454,Post392,1,11,Sep-16
User5557,Post392,1,11,Sep-16
User3520,Post392,1,11,Sep-16
User0455,Post132,1,15,Sep-16
User0483,Post132,1,15,Sep-16
User0454,Post132,1,15,Sep-16
User7216,Post132,1,15,Sep-16
User5557,Post132,1,15,Sep-16
User0093,Post132,1,15,Sep-16
User6726,Post132,1,15,Sep-16
User5515,Post132,1,15,Sep-16
User4328,Post132,1,15,Sep-16
User0483,Post307,1,18,Sep-16
User0454,Post307,1,18,Sep-16
User1640,Post307,1,18,Sep-16
User7261,Post307,1,18,Sep-16
User7216,Post307,1,18,Sep-16
User3938,Post307,1,18,Sep-16
User0505,Post307,1,18,Sep-16
User0261,Post307,1,18,Sep-16
User0483,Post572,1,12,Sep-16
User0530,Post572,1,12,Sep-16
User0454,Post572,1,12,Sep-16
User2955,Post572,1,12,Sep-16
User5557,Post572,1,12,Sep-16
User4312,Post572,1,12,Sep-16
User0261,Post572,1,12,Sep-16
User0483,Post533,1,2,Sep-16
User0124,Post533,1,2,Sep-16
User0455,Post533,1,2,Sep-16
