Source,Target,Weight,July19Topic,PostDate
User7411,Post120,2,8,JanApr-17
User7379,Post093,2,18,SepDec-17
User7366,Post120,2,8,JanApr-17
User7357,Post239,2,8,JanApr-17
User6621,Post064,2,15,MayAug-17
User7304,Post055,2,8,JanApr-17
User5468,Post580,2,13,SepDec-17
User7290,Post418,2,16,SepDec-17
User7686,Post497,2,9,SepDec-17
User7589,Post410,2,13,SepDec-17
User7407,Post497,2,9,SepDec-17
User7243,Post233,2,10,SepDec-17
User7380,Post497,2,9,SepDec-17
User7348,Post497,2,9,SepDec-17
User7132,Post410,2,13,SepDec-17
User6924,Post410,2,13,SepDec-17
User7202,Post279,2,14,MayAug-17
User7197,Post493,2,1,SepDec-17
User6805,Post497,2,9,SepDec-17
User7186,Post609,2,9,JanApr-17
User6663,Post410,2,13,SepDec-17
User6638,Post497,2,9,SepDec-17
User7180,Post513,2,6,JanApr-17
User6326,Post497,2,9,SepDec-17
User6296,Post497,2,9,SepDec-17
User6272,Post497,2,9,SepDec-17
User5994,Post497,2,9,SepDec-17
User7149,Post493,2,1,SepDec-17
User7141,Post085,2,15,SepDec-17
User5747,Post497,2,9,SepDec-17
User5665,Post497,2,9,SepDec-17
User7128,Post094,2,16,SepDec-17
User5228,Post410,2,13,SepDec-17
User4658,Post438,2,14,SepDec-17
User5223,Post497,2,9,SepDec-17
User5162,Post497,2,9,SepDec-17
User5153,Post497,2,9,SepDec-17
User5109,Post497,2,9,SepDec-17
User5082,Post410,2,13,SepDec-17
User3275,Post064,2,15,MayAug-17
User5050,Post497,2,9,SepDec-17
User4932,Post497,2,9,SepDec-17
User7040,Post511,2,18,SepDec-17
User7032,Post141,2,8,SepDec-17
User7032,Post094,2,16,SepDec-17
User7032,Post349,2,NA,MayAug-17
User4912,Post497,2,9,SepDec-17
User6994,Post569,2,17,JanApr-17
User4825,Post410,2,13,SepDec-17
User4701,Post497,2,9,SepDec-17
User4642,Post497,2,9,SepDec-17
User4636,Post497,2,9,SepDec-17
User4308,Post497,2,9,SepDec-17
User6957,Post597,2,1,JanApr-17
User4197,Post497,2,9,SepDec-17
User4188,Post497,2,9,SepDec-17
User6932,Post281,2,12,JanApr-17
User4132,Post497,2,9,SepDec-17
User4013,Post497,2,9,SepDec-17
User3999,Post497,2,9,SepDec-17
User3765,Post497,2,9,SepDec-17
User3638,Post497,2,9,SepDec-17
User0455,Post438,2,14,SepDec-17
User3613,Post497,2,9,SepDec-17
User3554,Post497,2,9,SepDec-17
User3529,Post497,2,9,SepDec-17
User3497,Post410,2,13,SepDec-17
User6813,Post447,2,1,JanApr-17
User3405,Post497,2,9,SepDec-17
User3332,Post497,2,9,SepDec-17
User3311,Post497,2,9,SepDec-17
User3201,Post192,2,8,SepDec-17
User3194,Post497,2,9,SepDec-17
User6754,Post447,2,1,JanApr-17
User3131,Post497,2,9,SepDec-17
User6738,Post439,2,12,JanApr-17
User2908,Post497,2,9,SepDec-17
User2853,Post497,2,9,SepDec-17
User2697,Post497,2,9,SepDec-17
User2602,Post497,2,9,SepDec-17
User6671,Post053,2,8,SepDec-16
User6664,Post485,2,8,SepDec-17
User2512,Post497,2,9,SepDec-17
User6653,Post244,2,12,SepDec-17
User6653,Post344,2,3,SepDec-17
User6653,Post407,2,11,MayAug-17
User2455,Post497,2,9,SepDec-17
User2213,Post497,2,9,SepDec-17
User2111,Post497,2,9,SepDec-17
User0429,Post064,2,15,MayAug-17
User0274,Post580,2,13,SepDec-17
User6618,Post540,2,12,SepDec-17
User2037,Post497,2,9,SepDec-17
User1936,Post497,2,9,SepDec-17
User1880,Post497,2,9,SepDec-17
User1691,Post497,2,9,SepDec-17
User1563,Post410,2,13,SepDec-17
User6547,Post025,2,7,JanApr-17
User1526,Post167,2,14,JanApr-17
User6518,Post269,2,12,SepDec-17
User1383,Post497,2,9,SepDec-17
User1335,Post497,2,9,SepDec-17
User1308,Post497,2,9,SepDec-17
User6470,Post120,2,8,JanApr-17
User1259,Post497,2,9,SepDec-17
User6455,Post279,2,14,MayAug-17
User6443,Post379,2,14,JanApr-17
User1045,Post497,2,9,SepDec-17
User0998,Post497,2,9,SepDec-17
User0569,Post594,2,6,SepDec-17
User6407,Post493,2,1,SepDec-17
User6406,Post025,2,7,JanApr-17
User0039,Post327,2,6,SepDec-17
User6390,Post025,2,7,JanApr-17
User0532,Post497,2,9,SepDec-17
User6371,Post493,2,1,SepDec-17
User6371,Post287,2,1,JanApr-17
User0429,Post497,2,9,SepDec-17
User6362,Post287,2,1,JanApr-17
User0357,Post497,2,9,SepDec-17
User0126,Post410,2,13,SepDec-17
User0107,Post158,2,11,SepDec-17
