User4578,5
User3748,1
User3483,5
User3187,5
User3845,1
User3808,1
User2696,1
User2606,3
User2469,1
User0615,1
User0469,1
User0381,5
User0357,1
User0172,5
User7681,1
User7631,1
User7606,1
User7597,1
User7536,1
User7526,1
User7512,5
User7489,1
User7478,1
User7461,1
User7449,15
User7446,1
User7403,5
User7383,1
User7364,1
User7336,1
User7325,1
User7302,1
User7299,1
User7297,1
User7266,1
User7209,3
User7189,1
User7177,5
User7164,1
User7156,1
User7111,1
User7077,1
User7076,1
User7045,1
User7041,1
User7037,5
User6996,1
User6910,1
User6905,1
User6863,1
User6846,1
User6828,1
User6814,1
User6807,1
User6799,1
User6788,1
User6785,14
User6766,1
User6754,1
User6737,5
User6734,1
User6726,1
User6719,5
User6717,1
User6694,5
User6670,1
User6666,1
User6634,1
User6612,11
User6566,1
User6562,15
User6535,1
User6522,1
User6508,1
User6503,1
User6502,1
User6474,1
User6416,1
User6391,1
User6385,1
User6375,1
User6363,1
User6303,13
User6218,1
User6216,1
User6184,1
User6146,1
User6138,15
User6136,1
User6087,1
User6077,15
User6063,1
User6062,5
User6054,5
User6035,1
User6032,1
User6029,3
User5932,1
User5917,1
User5878,1
User5855,15
User5828,1
User5819,1
User5799,1
User5795,1
User5789,1
User5757,5
User5754,1
User5746,1
User5732,1
User5670,1
User5664,1
User5613,1
User5545,1
User5503,1
User5499,5
User5465,1
User5424,1
User5390,15
User5386,1
User5371,13
User5309,1
User5271,1
User5263,1
User5255,1
User5227,1
User5221,1
User5220,1
User5207,1
User5170,5
User5142,1
User5133,5
User5112,1
User5105,13
User5099,1
User5067,5
User5064,1
User5056,13
User5041,1
User5027,1
User5023,1
User4978,1
User4936,1
User4883,1
User4807,11
User4806,1
User4789,1
User4784,1
User4768,1
User4761,1
User4737,1
User4720,1
User4690,1
User4687,1
User4674,1
User4639,1
User4632,1
User4620,15
User4606,1
User4585,1
User4567,1
User4547,1
User4534,1
User4521,1
User4501,1
User4464,1
User4446,1
User4439,1
User4408,14
User4407,14
User4373,1
User4297,1
User4270,1
User4259,1
User4222,1
User4201,1
User4179,1
User4166,1
User4104,1
User4100,1
User4064,1
User4024,5
User4014,1
User4013,1
User3995,1
User3971,2
User3944,15
User3912,1
User3903,1
User3887,1
User3884,5
User3880,14
User3866,1
User3849,1
User3835,1
User3813,1
User3801,1
User3760,1
User3744,5
User3730,1
User3720,1
User3718,1
User3681,1
User3633,1
User3609,5
User3602,1
User3561,1
User3546,1
User3528,1
User3488,1
User3434,1
User3400,1
User3395,1
User3380,1
User3362,3
User3356,1
User3354,15
User3348,1
User3335,1
User3267,15
User3222,1
User3209,11
User3204,1
User3189,1
User3134,1
User3093,1
User3092,1
User3063,1
User3057,1
User3043,1
User3036,5
User2989,1
User2962,5
User2960,1
User2946,1
User2936,5
User2934,1
User2931,1
User2928,1
User2927,1
User2901,1
User2899,1
User2876,1
User2860,1
User2814,3
User2811,1
User2778,11
User2701,15
User2700,1
User2686,1
User2685,1
User2654,3
User2653,1
User2634,1
User2616,1
User2601,1
User2592,1
User2567,1
User2563,1
User2514,1
User2511,5
User2505,1
User2489,1
User2467,1
User2416,1
User2387,14
User2380,1
User2359,1
User2280,5
User2276,1
User2262,11
User2241,13
User2228,1
User2221,1
User2191,5
User2187,1
User2160,1
User2137,2
User2124,5
User2102,1
User2084,15
User2065,1
User2061,1
User2024,1
User2013,1
User1996,1
User1990,1
User1911,5
User1846,1
User1830,1
User1815,5
User1793,15
User1790,1
User1780,1
User1743,1
User1732,1
User1728,1
User1652,1
User1629,15
User1621,1
User1616,5
User1541,1
User1537,1
User1535,13
User1515,15
User1510,1
User1499,1
User1487,1
User1446,1
User1436,1
